game,date,home,opp,rslt,pa,ab,r,h,2b,3b,hr,rbi,bb,ibb,so,hbp,sh,sf,roe,gdp,sb,cs,ba,obp,slg,ops,lob,numplayers,thr,oppstart,clean_date,game_date_id,team
1,Mar 28,False,BAL,"L,3-11",31,28,3,2,1,0,1,2,3,0,14,0,0,0,0,1,0,0,0.071,0.161,0.214,0.376,1,12,R,C.Burnes(77),2024-03-28,1,angels
2,Mar 30,False,BAL,"L,4-13",37,36,4,9,0,1,1,4,1,0,13,0,0,0,1,1,0,0,0.172,0.221,0.313,0.533,6,12,R,G.Rodriguez(68),2024-03-30,1,angels
3,Mar 31,False,BAL,"W,4-1",33,31,4,6,0,0,1,3,1,0,8,1,0,0,0,1,0,1,0.179,0.228,0.305,0.533,2,10,R,T.Wells(55),2024-03-31,1,angels
4,Apr 1,False,MIA,"W,7-4",39,33,7,7,1,1,3,6,6,0,7,0,0,0,0,0,2,1,0.188,0.257,0.375,0.632,5,11,R,M.Meyer(57),2024-04-01,1,angels
5,Apr 2,False,MIA,"W,3-1",34,31,3,7,2,0,1,3,3,0,6,0,0,0,1,1,1,1,0.195,0.264,0.377,0.642,4,9,L,J.Luzardo(51),2024-04-02,1,angels
6,Apr 3,False,MIA,"W,10-2",47,36,10,12,5,0,1,8,8,0,7,1,0,2,1,2,0,0,0.221,0.303,0.41,0.713,10,11,L,A.Puk(42),2024-04-03,1,angels
7,Apr 5,True,BOS,"L,6-8",41,36,6,6,0,0,1,6,3,0,10,2,0,0,2,0,0,0,0.212,0.298,0.385,0.683,8,9,R,K.Crawford(58),2024-04-05,1,angels
8,Apr 6,True,BOS,"W,2-1",36,30,2,6,0,0,0,0,6,0,10,0,0,0,1,0,2,1,0.211,0.302,0.364,0.666,10,9,R,G.Whitlock(55),2024-04-06,1,angels
9,Apr 7,True,BOS,"L,2-12",38,34,2,8,1,0,1,1,3,0,8,1,0,0,0,1,1,0,0.214,0.304,0.363,0.666,9,12,R,T.Houck(69),2024-04-07,1,angels
10,Apr 8,True,TBR,"W,7-1",40,37,7,14,2,1,1,7,3,0,7,0,0,0,0,0,2,0,0.232,0.316,0.386,0.702,9,9,R,Z.Eflin(34),2024-04-08,1,angels
11,Apr 9,True,TBR,"L,4-6",38,34,4,7,1,0,1,3,4,0,7,0,0,0,1,1,1,0,0.23,0.314,0.38,0.694,7,11,R,A.Civale(52),2024-04-09,1,angels
12,Apr 10,True,TBR,"L,2-4",38,35,2,9,2,0,1,2,3,0,12,0,0,0,0,0,1,0,0.232,0.314,0.382,0.696,9,9,R,Z.Littell(48),2024-04-10,1,angels
13,Apr 12,False,BOS,"W,7-0",41,40,7,12,2,0,1,6,0,0,6,1,0,0,0,0,0,0,0.238,0.314,0.385,0.7,7,9,R,T.Houck(25),2024-04-12,1,angels
14,Apr 13,False,BOS,"L,2-7",36,34,2,8,0,0,1,2,2,0,10,0,0,0,0,1,0,0,0.238,0.312,0.381,0.693,7,11,R,C.Criswell(47),2024-04-13,1,angels
15,Apr 14,False,BOS,"L,4-5",39,33,4,9,0,1,1,4,3,0,11,2,0,1,0,2,1,0,0.24,0.315,0.384,0.699,8,10,R,B.Bello(54),2024-04-14,1,angels
16,Apr 15,False,TBR,"W,7-3",41,38,7,13,3,0,2,7,3,0,6,0,0,0,0,1,0,1,0.247,0.32,0.397,0.718,7,11,R,Z.Eflin(66),2024-04-15,1,angels
17,Apr 16,False,TBR,"L,6-7",48,43,6,6,0,0,2,5,2,0,13,1,1,1,1,0,5,1,0.239,0.311,0.389,0.7,7,11,R,A.Civale(58),2024-04-16,1,angels
18,Apr 17,False,TBR,"W,5-4",40,38,5,12,1,0,1,5,2,1,9,0,0,0,0,0,4,0,0.244,0.313,0.391,0.704,8,11,R,Z.Littell(48),2024-04-17,1,angels
19,Apr 18,False,TBR,"L,1-2",35,31,1,6,0,0,0,1,3,0,11,0,0,1,0,1,2,0,0.242,0.311,0.381,0.692,7,13,R,R.Pepiot(66),2024-04-18,1,angels
20,Apr 19,False,CIN,"L,1-7",34,33,1,7,2,0,0,1,1,0,9,0,0,0,1,0,3,0,0.24,0.307,0.376,0.683,6,9,L,N.Lodolo(61),2024-04-19,1,angels
21,Apr 20,False,CIN,"L,5-7",37,34,5,7,1,0,1,5,3,0,7,0,0,0,0,0,0,0,0.239,0.305,0.374,0.679,5,10,R,G.Ashcraft(38),2024-04-20,1,angels
22,Apr 21,False,CIN,"L,0-3",36,31,0,6,0,0,0,0,5,0,6,0,0,0,0,2,0,0,0.237,0.305,0.366,0.672,9,10,R,F.Montas(51),2024-04-21,1,angels
23,Apr 22,True,BAL,"L,2-4",38,32,2,8,1,0,1,2,4,0,8,1,1,0,0,1,0,0,0.237,0.307,0.367,0.674,9,10,R,A.Suárez(64),2024-04-22,1,angels
24,Apr 23,True,BAL,"W,7-4",35,32,7,11,5,0,1,7,2,0,12,1,0,0,0,0,0,1,0.241,0.311,0.376,0.687,4,10,R,G.Rodriguez(19),2024-04-23,1,angels
25,Apr 24,True,BAL,"L,5-6",34,32,5,6,0,0,3,5,2,0,16,0,0,0,0,0,1,1,0.239,0.308,0.379,0.687,2,12,R,D.Kremer(63),2024-04-24,1,angels
26,Apr 26,True,MIN,"L,3-5",37,31,3,5,2,0,0,3,6,0,10,0,0,0,0,0,0,1,0.237,0.308,0.374,0.682,7,10,R,B.Ober(69),2024-04-26,1,angels
27,Apr 27,True,MIN,"L,5-16",39,36,5,11,1,0,1,5,2,0,5,0,0,1,0,0,0,0,0.239,0.309,0.375,0.684,7,10,R,C.Paddack(36),2024-04-27,1,angels
28,Apr 28,True,MIN,"L,5-11",35,33,5,6,2,0,2,5,1,0,14,1,0,0,0,0,0,0,0.237,0.306,0.377,0.683,3,9,R,P.López(50),2024-04-28,1,angels
29,Apr 29,True,PHI,"W,6-5",35,31,6,11,2,0,1,4,3,0,3,0,1,0,0,1,3,1,0.241,0.309,0.381,0.691,5,9,L,C.Sánchez(36),2024-04-29,1,angels
30,Apr 30,True,PHI,"L,5-7",37,36,5,9,2,0,2,5,0,0,9,1,0,0,0,0,2,1,0.241,0.308,0.385,0.693,5,9,R,S.Turnbull(58),2024-04-30,1,angels
31,May 1,True,PHI,"L,1-2",39,37,1,10,2,0,1,1,2,0,11,0,0,0,0,0,0,1,0.242,0.308,0.385,0.694,11,11,R,Z.Wheeler(58),2024-05-01,1,angels
32,May 3,False,CLE,"W,6-0",38,35,6,11,2,0,2,6,2,0,7,0,0,1,0,1,0,1,0.245,0.309,0.39,0.7,5,9,R,T.Bibee(30),2024-05-03,1,angels
33,May 4,False,CLE,"L,1-7",34,31,1,4,1,0,0,1,3,0,8,0,0,0,1,0,2,1,0.242,0.306,0.384,0.691,6,12,R,B.Lively(62),2024-05-04,1,angels
34,May 5,False,CLE,"L,1-4",33,29,1,6,3,0,0,1,3,0,7,0,0,1,0,1,2,1,0.241,0.306,0.382,0.688,5,10,R,C.Carrasco(57),2024-05-05,1,angels
35,May 6,False,PIT,"L,1-4",31,30,1,5,2,0,1,1,1,0,5,0,0,0,1,2,0,0,0.239,0.303,0.381,0.684,3,9,R,M.Keller(77),2024-05-06,1,angels
36,May 7,False,PIT,"W,9-0",46,43,9,15,3,0,2,9,3,0,6,0,0,0,0,0,1,0,0.243,0.306,0.387,0.693,10,9,R,Q.Priester(33),2024-05-07,1,angels
37,May 8,False,PIT,"W,5-4",36,34,5,10,3,0,1,5,1,0,9,0,0,1,0,1,0,0,0.244,0.306,0.39,0.695,4,10,L,M.Pérez(40),2024-05-08,1,angels
38,May 9,True,KCR,"L,4-10",38,30,4,5,0,0,0,4,5,0,7,1,0,2,0,1,0,0,0.242,0.305,0.384,0.69,7,11,R,M.Wacha(57),2024-05-09,1,angels
39,May 10,True,KCR,"L,1-2",35,33,1,5,3,0,1,1,2,0,9,0,0,0,2,0,2,0,0.24,0.303,0.383,0.686,7,10,R,A.Marsh(61),2024-05-10,1,angels
40,May 11,True,KCR,"W,9-3",37,33,9,10,1,1,1,8,3,0,4,0,1,0,0,0,1,0,0.242,0.304,0.386,0.69,4,10,L,C.Ragans(31),2024-05-11,1,angels
41,May 12,True,KCR,"L,2-4",33,33,2,6,2,0,1,2,0,0,12,0,0,0,0,0,0,0,0.24,0.302,0.384,0.686,4,10,R,S.Lugo(80),2024-05-12,1,angels
42,May 13,True,STL,"L,5-10",36,32,5,7,2,0,1,4,4,0,5,0,0,0,0,0,0,0,0.24,0.302,0.384,0.686,4,9,L,M.Liberatore(33),2024-05-13,1,angels
43,May 14,True,STL,"L,6-7",42,36,6,12,3,1,1,6,4,0,13,0,0,1,0,0,0,1,0.242,0.304,0.388,0.692,9,10,R,S.Gray(43),2024-05-14,1,angels
44,May 15,True,STL,"W,7-2",40,35,7,14,2,0,3,6,4,0,10,1,0,0,0,0,1,1,0.246,0.308,0.396,0.704,9,9,R,L.Lynn(38),2024-05-15,1,angels
45,May 17,False,TEX,"W,9-3",46,42,9,14,2,0,2,8,4,0,11,0,0,0,1,0,3,0,0.248,0.31,0.399,0.71,10,9,L,A.Heaney(44),2024-05-17,1,angels
46,May 18,False,TEX,"L,2-3",48,44,2,5,2,0,2,2,4,0,12,0,0,0,1,1,2,0,0.244,0.307,0.397,0.704,11,9,R,J.Ureña(62),2024-05-18,1,angels
47,May 19,False,TEX,"W,4-1",35,31,4,6,1,1,0,4,4,0,7,0,0,0,0,0,0,1,0.243,0.307,0.395,0.701,4,12,R,M.Lorenzen(62),2024-05-19,1,angels
48,May 20,False,HOU,"W,9-7",41,38,9,13,1,0,4,9,2,0,4,0,0,1,0,1,2,0,0.246,0.308,0.401,0.709,5,9,L,F.Valdez(17),2024-05-20,1,angels
49,May 21,False,HOU,"L,5-6",43,39,5,11,2,0,2,5,4,0,8,0,0,0,0,1,0,1,0.246,0.309,0.403,0.712,9,10,R,C.Javier(28),2024-05-21,1,angels
50,May 22,False,HOU,"W,2-1",33,29,2,3,0,0,1,2,4,0,5,0,0,0,0,1,0,0,0.244,0.307,0.4,0.707,4,10,R,H.Brown(60),2024-05-22,1,angels
51,May 24,True,CLE,"L,4-10",37,35,4,9,2,0,3,4,2,0,10,0,0,0,0,0,0,0,0.244,0.307,0.403,0.71,6,10,L,L.Allen(48),2024-05-24,1,angels
52,May 25,True,CLE,"L,3-4",35,33,3,8,2,0,1,3,1,0,11,1,0,0,1,0,0,2,0.244,0.307,0.403,0.71,5,9,R,T.Bibee(53),2024-05-25,1,angels
53,May 26,True,CLE,"L,4-5",36,34,4,9,1,0,1,4,2,0,8,0,0,0,0,2,0,0,0.245,0.307,0.403,0.709,5,12,R,B.Lively(64),2024-05-26,1,angels
54,May 28,True,NYY,"W,4-3",32,32,4,9,1,0,1,4,0,0,7,0,0,0,0,0,0,0,0.245,0.306,0.403,0.709,4,12,L,N.Cortés(54),2024-05-28,1,angels
55,May 29,True,NYY,"L,1-2",32,29,1,3,0,0,1,1,3,0,9,0,0,0,0,1,0,0,0.243,0.304,0.4,0.704,4,9,R,L.Gil(81),2024-05-29,1,angels
56,May 30,True,NYY,"L,3-8",35,31,3,4,1,0,1,3,3,0,7,1,0,0,1,1,0,0,0.241,0.303,0.397,0.701,5,10,L,C.Rodón(58),2024-05-30,1,angels
57,May 31,False,SEA,"L,4-5",33,31,4,7,1,0,1,4,2,0,8,0,0,0,0,2,2,1,0.241,0.303,0.397,0.699,2,10,R,B.Woo(68),2024-05-31,1,angels
58,Jun 1,False,SEA,"L,0-9",33,32,0,6,1,0,0,0,1,0,12,0,0,0,0,0,0,1,0.24,0.301,0.394,0.695,6,10,R,B.Miller(74),2024-06-01,1,angels
59,Jun 2,False,SEA,"L,1-5",36,31,1,4,1,0,0,1,4,0,9,1,0,0,1,0,0,1,0.238,0.3,0.39,0.691,8,10,R,L.Castillo(76),2024-06-02,1,angels
60,Jun 3,True,SDP,"W,2-1",28,27,2,4,1,0,0,2,0,0,4,0,0,1,1,1,1,0,0.237,0.298,0.388,0.686,2,12,R,M.Waldron(69),2024-06-03,1,angels
61,Jun 4,True,SDP,"W,4-2",31,25,4,5,1,0,0,3,6,0,2,0,0,0,0,4,1,0,0.237,0.299,0.386,0.685,3,10,R,A.Mazur(62),2024-06-04,1,angels
